Student_ID,Study_Hours_Per_Week,Quiz_Score,Assignments_Submitted,Attendance_Percentage,Previous_Grades,Recommended_Study_Material
1,17.5,67.8,1,77.7,57.1,Intermediate Practice
2,14.3,69.5,6,81.7,87.4,Intermediate Practice
3,18.2,71,3,65,72.1,Advanced Topics
4,22.6,84.2,7,75.8,63.4,Advanced Topics
5,13.8,58.8,6,73.4,69.7,Intermediate Practice
6,13.8,57.3,7,90.2,80.1,Intermediate Practice
7,22.9,88.5,3,85.3,72.6,Advanced Topics
8,18.8,63.1,1,93.7,95.5,Intermediate Practice
9,12.7,51.1,6,80.8,86.2,Intermediate Practice
10,17.7,62.7,8,86.1,50.4,Intermediate Practice
11,12.7,65,5,64.7,81.9,Intermediate Practice
12,12.7,93.3,6,94.1,83.1,Advanced Topics
13,16.2,83.9,5,97.7,77.2,Advanced Topics
14,5.4,87.2,1,91.5,53.7,Advanced Topics
15,6.4,82.3,8,76.2,84.8,Advanced Topics
16,12.2,84.2,4,90.5,71.9,Advanced Topics
17,9.9,59.7,2,86.8,52.8,Time Management & Practice
18,16.6,67,3,65.4,73.4,Intermediate Practice
19,10.5,55.2,3,97.4,85,Intermediate Practice
20,7.9,66.8,8,74.3,55.4,Time Management & Practice
21,22.3,80.3,4,90.8,55.4,Advanced Topics
22,13.9,72,1,85.3,78.9,Advanced Topics
23,15.3,89.7,5,98.5,73.5,Advanced Topics
24,7.9,52.9,6,76.4,80.3,Time Management & Practice
25,12.3,77.5,7,79.9,69.1,Advanced Topics
26,15.6,51.3,4,91.9,100,Intermediate Practice
27,9.2,71.4,7,79,62.7,Advanced Topics
28,16.9,81.1,7,99.2,78,Advanced Topics
29,12,66.8,3,77.4,61.2,Intermediate Practice
30,13.5,78.3,6,90.9,47,Advanced Topics
31,12,55.6,8,85,66.2,Intermediate Practice
32,24.3,45,9,78.4,63.9,Basic Concepts
33,14.9,78.4,3,98.2,94.8,Advanced Topics
34,9.7,96.2,8,74.5,74.6,Advanced Topics
35,19.1,55.1,3,90.3,56.5,Intermediate Practice
36,8.9,88.3,0,60,69,Advanced Topics
37,16,70.7,3,88.2,54.5,Advanced Topics
38,5.2,50,1,97.2,64.4,Time Management & Practice
39,8.4,53,5,83.5,83.7,Time Management & Practice
40,16,70.2,7,87.1,75.2,Advanced Topics
41,18.7,63.9,5,100,43.3,Intermediate Practice
42,15.9,50.3,8,95.6,56.2,Intermediate Practice
43,14.4,44.6,5,62.7,55.6,Basic Concepts
44,13.5,57.3,6,79.6,57.7,Intermediate Practice
45,7.6,72.9,4,82.1,72.5,Advanced Topics
46,11.4,69.9,7,88.1,83.7,Intermediate Practice
47,12.7,62.5,1,84.4,63,Intermediate Practice
48,20.3,73,1,79.8,58.6,Advanced Topics
49,16.7,85.6,7,79.1,80.5,Advanced Topics
50,6.2,75.9,5,70.6,72.7,Advanced Topics
51,16.6,68.2,1,74.9,60.2,Intermediate Practice
52,13.1,83.9,5,93.4,62.2,Advanced Topics
53,11.6,55.6,7,74.5,63.6,Intermediate Practice
54,18.1,66.6,5,77,84.7,Intermediate Practice
55,20.2,67,8,70.4,74.6,Intermediate Practice
56,19.7,51.4,5,88.8,95.5,Intermediate Practice
57,10.8,63.7,2,94.6,76.2,Intermediate Practice
58,13.5,38.9,8,96.6,54.7,Basic Concepts
59,16.7,98.7,9,81.1,43,Advanced Topics
60,19.9,55.9,4,84.4,58.7,Intermediate Practice
61,12.6,93.8,5,85.3,43.5,Advanced Topics
62,14.1,70.6,3,80.8,56.3,Advanced Topics
63,9.5,78.5,2,88.3,68.3,Advanced Topics
64,9,62.7,9,96.3,48.5,Time Management & Practice
65,19.1,73.1,4,95,79.8,Advanced Topics
66,21.8,79.8,2,83.3,60.4,Advanced Topics
67,14.6,80,1,79.7,80,Advanced Topics
68,20,81.6,5,73.5,53.8,Advanced Topics
69,16.8,64.5,7,67.6,78.9,Intermediate Practice
70,11.8,62.8,2,90.4,60.4,Intermediate Practice
71,16.8,46.1,5,85,64.5,Basic Concepts
72,22.7,77.8,8,85.1,58.5,Advanced Topics
73,14.8,86.2,0,100,65.7,Advanced Topics
74,22.8,94.2,2,100,76.6,Advanced Topics
75,1.9,74.6,1,85.4,47.3,Advanced Topics
76,19.1,58.5,7,87.1,100,Intermediate Practice
77,15.4,44.5,8,73.9,100,Basic Concepts
78,13.5,85.6,9,91.5,60.5,Advanced Topics
79,15.5,43.1,5,87.3,82.9,Basic Concepts
80,5.1,64.9,2,76.2,50.1,Time Management & Practice
81,13.9,66.6,9,87.5,43.4,Intermediate Practice
82,16.8,69,7,95.4,97,Intermediate Practice
83,22.4,70.5,9,100,79.9,Advanced Topics
84,12.4,72.1,6,69.9,70.4,Advanced Topics
85,11,33.8,1,73.6,79.3,Basic Concepts
86,12.5,70.2,6,84,58,Advanced Topics
87,19.6,36.6,0,87.3,69.6,Basic Concepts
88,16.6,81,7,100,71.7,Advanced Topics
89,12.4,61.7,4,97.3,46.4,Intermediate Practice
90,17.6,37.6,8,64.3,85.4,Basic Concepts
91,15.5,57.8,2,80.8,61.3,Intermediate Practice
92,19.8,61.4,6,69.8,50.4,Intermediate Practice
93,11.5,87.9,7,71.9,93.4,Advanced Topics
94,13.4,72.9,0,90.8,86.6,Advanced Topics
95,13,75.2,5,86.4,64.9,Advanced Topics
96,7.7,87.7,1,100,49.3,Advanced Topics
97,16.5,68.6,7,70.9,76,Intermediate Practice
98,16.3,81.3,5,84.7,69.2,Advanced Topics
99,15,80.3,2,79.6,100,Advanced Topics
100,13.8,50.7,3,100,88.2,Intermediate Practice
101,7.9,92.1,6,76,61.3,Advanced Topics
102,12.9,48.7,8,87.2,90,Basic Concepts
103,13.3,83.8,9,71.1,88.4,Advanced Topics
104,11,47.2,1,99.5,41.9,Basic Concepts
105,14.2,79,8,100,76.9,Advanced Topics
106,17,97.9,5,78,86.3,Advanced Topics
107,24.4,66.8,1,76.8,62,Intermediate Practice
108,15.9,66.2,7,87.6,49.6,Intermediate Practice
109,16.3,79.2,3,76.8,100,Advanced Topics
110,14.6,65.1,7,96.5,92,Intermediate Practice
111,5.4,97.3,6,89.6,72.4,Advanced Topics
112,14.9,72.9,6,97.7,36.5,Advanced Topics
113,15.3,65.2,6,74.2,62.4,Intermediate Practice
114,27.3,61.9,1,71.2,98.1,Intermediate Practice
115,14,56,7,88.7,88.8,Intermediate Practice
116,16.5,60.6,1,100,64.6,Intermediate Practice
117,14.8,64.7,2,75.6,61.2,Intermediate Practice
118,9.2,62.7,9,89.6,90.7,Time Management & Practice
119,20.7,60.1,6,78.4,65.1,Intermediate Practice
120,18.8,100,6,95.6,66.9,Advanced Topics
121,19,54.5,6,76.2,75.3,Intermediate Practice
122,10.5,72.2,3,87.8,77.7,Advanced Topics
123,22,78.9,4,96.2,52.3,Advanced Topics
124,8,79.5,6,71.6,78.1,Advanced Topics
125,17.9,69.1,7,91,53.9,Intermediate Practice
126,26,66.4,2,81.4,88.3,Intermediate Practice
127,10,76.8,5,93.5,63.8,Advanced Topics
128,12.2,74,8,88.7,73.2,Advanced Topics
129,15.5,66.1,9,80.8,25.7,Intermediate Practice
130,12.5,46.6,4,84.1,81.4,Basic Concepts
131,7.2,63,3,66.6,83.5,Time Management & Practice
132,15.3,52.8,8,93.7,61.1,Intermediate Practice
133,9.7,60,3,100,48.3,Time Management & Practice
134,17.4,70.5,2,79.6,47.8,Advanced Topics
135,10.4,75.4,6,84.6,68.9,Advanced Topics
136,22.7,96.7,4,100,52.1,Advanced Topics
137,11.1,61.9,0,67.1,67.9,Intermediate Practice
